_2014_score,borough,_2010_score,block,_2014_ghg_emissions_intensity_kgco2e_ft,lot,bin,_2010_ghg_emissions_intensity_kgco2e_ft
34,3.0,71,6043.0,7.1,1.0,3153416.0,4.4
88,5.0,69,2634.0,4.4,1.0,5107386.0,3.7
8,5.0,1,4630.0,5.5,13.0,5062576.0,6.1
25,5.0,13,5067.0,19.6,500.0,5156492.0,25.5
Not Available,1.0,100,241.0,2.3,13.0,1079600.0,0.7
74,1.0,85,1652.0,4.8,16.0,1052384.0,4.1
68,1.0,62,439.0,7.2,17.0,1005974.0,7.6
Not Available,1.0,Not Available,2233.0,5.9,13.0,1064894.0,5.9
50,3.0,70,862.0,5.6,12.0,3016258.0,4.2
80,1.0,91,453.0,5.3,34.0,1006478.0,3.7
Not Available,1.0,Not Available,1402.0,15.3,29.0,1072190.0,15.8
98,4.0,Not Available,542.0,2.7,8.0,4440035.0,1.1
Not Available,3.0,Not Available,1038.0,13.7,1.0,3023562.0,8.8
Not Available,5.0,Not Available,76.0,5.1,200.0,5000000.0,6.3
58,3.0,23,1821.0,5.3,1.0,3051540.0,6
89,3.0,87,3114.0,4.1,11.0,3071571.0,3.9
35,4.0,22,1260.0,6.1,1.0,4028931.0,5.6
Not Available,3.0,Not Available,2368.0,9.4,12.0,3391565.0,Not Available
Not Available,5.0,Not Available,2610.0,19.6,27.0,5127019.0,18.2
76,3.0,80,140.0,4.1,7501.0,3000259.0,3.8
84,3.0,73,8329.0,5.3,250.0,3235262.0,5.3
56,4.0,77,15597.0,6.5,1.0,4298856.0,4.2
60,3.0,53,1301.0,6.2,1.0,3034356.0,5.8
68,1.0,55,1776.0,4.2,20.0,1054502.0,4.3
15,1.0,21,1819.0,21.7,30.0,1085917.0,19.9
32,4.0,75,9477.0,7.4,1.0,4200233.0,4.5
2,1.0,52,1734.0,23.3,1.0,1082167.0,15.5
Not Available,2.0,Not Available,3273.0,12.8,1.0,2823840.0,3.7
Not Available,4.0,Not Available,6517.0,7.5,1.0,4439902.0,7.5
83,4.0,23,7753.0,5,1.0,4164007.0,4.7
43,4.0,46,10906.0,6,1.0,4438829.0,5
86,3.0,89,8484.0,4.1,1.0,3239388.0,3.5
Not Available,2.0,Not Available,2657.0,5.3,30.0,2004700.0,5
100,4.0,100,3025.0,2.3,38.0,4070411.0,1.3
85,4.0,96,12723.0,3.3,76.0,4274083.0,2.2
Not Available,2.0,Not Available,2527.0,5.6,14.0,2003496.0,5.7
75,3.0,39,2008.0,5.9,1.0,3057521.0,5.7
22,3.0,Not Available,1117.0,17.2,1.0,3339260.0,4.8
55,2.0,32,2827.0,7.4,1.0,2007902.0,7
Not Available,5.0,Not Available,314.0,12.5,70.0,5106733.0,11.4
58,3.0,59,174.0,5.2,18.0,3000602.0,5.1
Not Available,4.0,Not Available,10152.0,2.7,66.0,4462248.0,0.9
Not Available,2.0,Not Available,2605.0,15.5,40.0,0.0,12.7
59,2.0,39,4552.0,5.9,10.0,2054933.0,4.7
98,3.0,95,2207.0,2.1,2.0,3060407.0,2.1
Not Available,4.0,Not Available,9662.0,9.8,20.0,4314908.0,7.3
80,2.0,100,3330.0,6.4,60.0,2017876.0,1.2
Not Available,1.0,Not Available,2014.0,7.1,36.0,1060189.0,7.5
92,1.0,70,1733.0,3.2,17.0,1076433.0,3.2
Not Available,2.0,Not Available,4513.0,6.2,16.0,2053752.0,7.4
Not Available,2.0,Not Available,3120.0,36,20.0,2123911.0,32.8
Not Available,3.0,Not Available,486.0,10.4,18.0,3008207.0,9.1
73,1.0,73,2001.0,5.2,5.0,1059942.0,5.2
95,2.0,73,2616.0,4.2,1.0,2004314.0,3.8
7,3.0,32,4812.0,25.7,1.0,3327674.0,17.7
Not Available,2.0,Not Available,2331.0,0.9,22.0,2000927.0,0.9
65,2.0,48,2576.0,5.1,26.0,2003883.0,6.4
50,2.0,40,3293.0,7,8.0,2016777.0,7.6
Not Available,3.0,Not Available,1287.0,15.1,48.0,3033791.0,6.6
12,3.0,25,5745.0,6.8,29.0,3142008.0,5.9
85,4.0,30,696.0,4.2,14.0,4442503.0,6.3
41,1.0,39,2111.0,6,24.0,1062636.0,5.9
Not Available,2.0,Not Available,2605.0,14.6,40.0,0.0,12.7
Not Available,1.0,Not Available,1957.0,9.6,129.0,1084078.0,7.6
90,4.0,86,9183.0,3.9,1.0,4191497.0,3.9
7,3.0,11,4102.0,7.7,19.0,3397004.0,6.2
77,3.0,57,3693.0,6.2,1.0,3083608.0,5
64,4.0,9,12051.0,7.3,1.0,4440628.0,6.1
Not Available,4.0,Not Available,254.0,16.1,1.0,4003451.0,9.5
52,4.0,18,10215.0,5.8,1.0,4217573.0,5.7
Not Available,3.0,Not Available,1633.0,9.2,39.0,3044596.0,5.9
67,3.0,32,4452.0,5,25.0,3098294.0,8
81,1.0,100,1669.0,17.3,1.0,1083929.0,5.3
Not Available,3.0,Not Available,1538.0,3.9,46.0,3041852.0,4.3
Not Available,5.0,Not Available,5.0,6.3,74.0,5000030.0,6.6
Not Available,3.0,Not Available,337.0,11.8,27.0,3004301.0,11.8
Not Available,3.0,Not Available,1649.0,4.8,1.0,3045367.0,1
60,5.0,57,7.0,8,1.0,5000063.0,7.9
Not Available,3.0,Not Available,2110.0,10.3,3.0,3059182.0,10.6
Not Available,1.0,Not Available,1912.0,6.2,12.0,1057904.0,6.4
79,4.0,61,15894.0,5.6,11.0,4301929.0,5.4
79,3.0,75,4324.0,7.7,1.0,3380772.0,6.6
34,2.0,38,2443.0,4.3,190.0,2001036.0,4.1
Not Available,4.0,Not Available,1749.0,4,7.0,4043525.0,4.2
47,3.0,45,2039.0,5.6,2.0,3332507.0,5.6
75,3.0,50,3990.0,4.9,1.0,3088734.0,6.6
71,1.0,87,2165.0,4.7,26.0,1063947.0,3.3
48,3.0,40,266.0,10.5,20.0,3002557.0,10.1
Not Available,2.0,Not Available,2904.0,1.6,34.0,2009477.0,0.4
35,3.0,22,4650.0,6.4,15.0,3101218.0,6.8
Not Available,2.0,Not Available,2865.0,7.7,49.0,2090448.0,8.1
5,4.0,Not Available,6.0,7.8,8.0,4538588.0,Not Available
82,1.0,62,2042.0,4.5,35.0,1060726.0,4
67,3.0,52,6329.0,4,32.0,3165232.0,5.1
84,3.0,59,4013.0,6,34.0,3089171.0,6.5
92,3.0,93,1164.0,6.2,57.0,3029060.0,5.4
Not Available,2.0,Not Available,2605.0,16.5,40.0,0.0,12.7
Not Available,3.0,Not Available,8698.0,17.5,1.0,3245159.0,24.5
Not Available,5.0,Not Available,3643.0,8,5.0,5052750.0,8.5
Not Available,1.0,Not Available,2186.0,4.1,9.0,1081892.0,6.1
62,3.0,68,5416.0,4.9,48.0,3127692.0,4.3
22,2.0,15,3329.0,6.6,124.0,2017858.0,6.2
Not Available,2.0,Not Available,5900.0,2.7,9999.0,2000000.0,1.8
64,4.0,61,12341.0,5.5,31.0,4267260.0,4.9
Not Available,1.0,Not Available,1909.0,9,9.0,1057819.0,7
Not Available,2.0,Not Available,3247.0,4.6,1.0,2829116.0,4.5
Not Available,2.0,Not Available,3272.0,12.8,1.0,2113265.0,3.7
34,5.0,8,1020.0,9.5,1.0,5106979.0,8.3
Not Available,1.0,Not Available,1957.0,9.6,200.0,1084084.0,7.6
Not Available,2.0,Not Available,3123.0,6.9,61.0,2013151.0,7.3
Not Available,1.0,Not Available,1433.0,4.9,37.0,1044180.0,4.6
23,2.0,18,4341.0,6.2,13.0,2049999.0,5.1
35,4.0,58,1288.0,5.9,1.0,4029892.0,4.6
68,3.0,79,5973.0,6.1,1.0,3150481.0,4.8
Not Available,4.0,Not Available,7490.0,11.5,2.0,4439433.0,11.3
Not Available,4.0,Not Available,1729.0,14.5,27.0,4042887.0,15.8
93,1.0,96,245.0,3.6,7.0,1003143.0,3.2
50,1.0,26,2179.0,5.1,365.0,1064371.0,4.7
Not Available,1.0,Not Available,722.0,10.1,57.0,1012811.0,10
52,3.0,49,4217.0,4.8,1.0,3094749.0,4.6
77,4.0,77,9410.0,4.2,1.0,4197909.0,3.6
57,3.0,72,5702.0,6,1.0,3140612.0,4.3
68,3.0,72,2246.0,5.6,1.0,3061328.0,5.1
37,3.0,18,4844.0,5.7,1.0,3107846.0,5.4
Not Available,3.0,Not Available,4006.0,4.2,37.0,3089020.0,4.1
81,4.0,84,5051.0,4.9,27.0,4114763.0,4.8
51,1.0,68,289.0,6,1.0,1075787.0,5.3
18,4.0,23,11300.0,7.6,1.0,4243743.0,5.5
Not Available,5.0,Not Available,2040.0,11,1.0,5107302.0,10.1
Not Available,5.0,Not Available,1266.0,6.7,64.0,5109138.0,Not Available
100,1.0,100,804.0,1.8,1.0,1015097.0,1.9
80,4.0,82,9280.0,4.7,1.0,4193916.0,3.7
72,5.0,31,5221.0,4.3,1.0,5066295.0,4
89,4.0,74,738.0,5.7,2.0,4013655.0,5.2
Not Available,4.0,Not Available,2573.0,2.6,124.0,4058923.0,5.2
Not Available,1.0,99,2124.0,4.3,43.0,1087469.0,3.1
Not Available,3.0,Not Available,8138.0,13.3,1.0,3256921.0,10
71,1.0,63,167.0,7.2,1.0,1079000.0,8
Not Available,4.0,Not Available,9327.0,11.1,21.0,4195880.0,12.2
85,1.0,94,343.0,4.7,1.0,1004080.0,3.3
Not Available,2.0,Not Available,2939.0,4.5,90.0,2009866.0,5.1
Not Available,4.0,Not Available,9653.0,2.6,1.0,4458616.0,2.8
41,1.0,35,1988.0,7.7,53.0,1059778.0,7.7
9,3.0,16,3597.0,7.9,11.0,3082253.0,6.3
88,3.0,96,3153.0,3.6,11.0,3071915.0,2.6
Not Available,3.0,Not Available,4298.0,3.8,7.0,3096389.0,4.3
93,2.0,72,2903.0,3,23.0,2009466.0,2.8
96,4.0,87,11403.0,4.4,1.0,4245993.0,3.8
91,4.0,81,13057.0,5.2,56.0,4280845.0,5.3
50,3.0,48,4988.0,5.1,66.0,3113388.0,4.8
77,2.0,75,3100.0,3.5,14.0,2098380.0,3.6
93,5.0,81,6025.0,3,30.0,5079499.0,3.2
69,5.0,17,6262.0,4.8,12.0,5107743.0,4
50,4.0,53,16162.0,26.8,120.0,4303723.0,29.7
89,3.0,83,120.0,3.8,20.0,3000216.0,3.9
93,1.0,95,2215.0,4.5,824.0,1082045.0,4.3
53,1.0,58,824.0,3.7,15.0,1080668.0,3.7
43,2.0,10,4675.0,7,20.0,2058396.0,6.6
94,3.0,97,4216.0,3.3,1.0,3094735.0,3
Not Available,5.0,Not Available,185.0,6.8,501.0,5005110.0,6.3
81,2.0,33,2804.0,4.8,31.0,2007603.0,5.5
24,2.0,37,4133.0,7.4,200.0,2045725.0,5.8
48,4.0,44,1954.0,4.4,37.0,4437311.0,3.7
7,3.0,32,4829.0,25.7,2.0,3396539.0,17.7
49,4.0,68,83.0,8.4,1.0,4000698.0,6.7
78,3.0,73,566.0,6.3,1.0,3008585.0,6.2
85,2.0,68,3168.0,4.3,27.0,2013830.0,4.5
53,1.0,55,1219.0,11.8,47.0,1032308.0,11.6
Not Available,3.0,Not Available,1420.0,4.2,51.0,3038317.0,4.6
Not Available,3.0,Not Available,1136.0,11.4,1.0,3027810.0,10.6
96,2.0,82,2642.0,5.4,1.0,2004548.0,6.2
Not Available,4.0,Not Available,11368.0,5.7,20.0,4539787.0,9.6
73,3.0,71,5899.0,6.2,1.0,3146921.0,4.8
Not Available,3.0,Not Available,1355.0,8.4,1.0,3035883.0,8.8
Not Available,2.0,Not Available,2732.0,7.7,1.0,2090437.0,6.9
Not Available,2.0,Not Available,2613.0,7.9,1.0,2004260.0,8.5
Not Available,4.0,Not Available,9121.0,9.2,11.0,4438526.0,8.9
63,2.0,60,4823.0,4.4,1.0,2062883.0,4.1
97,5.0,68,4716.0,2.7,60.0,5063495.0,4
9,2.0,13,2723.0,6.6,33.0,2116211.0,6.8
71,3.0,63,792.0,4.7,26.0,3332126.0,4.5
72,2.0,47,3150.0,6.4,10.0,2013561.0,4.7
Not Available,3.0,Not Available,7073.0,13.7,101.0,3341513.0,13.5
37,4.0,2,7316.0,7.2,18.0,4156949.0,7.8
Not Available,3.0,Not Available,6343.0,7.1,64.0,3165745.0,6.7
Not Available,1.0,Not Available,759.0,10.8,8.0,1013564.0,9.9
69,3.0,78,3622.0,6,23.0,3082726.0,4.1
94,1.0,Not Available,1747.0,10.4,70.0,1088883.0,Not Available
Not Available,1.0,Not Available,1957.0,5.5,1.0,1813294.0,7.6
Not Available,4.0,Not Available,12022.0,4.5,20.0,4260903.0,5.2
74,4.0,72,9677.0,4.9,7.0,4206784.0,4.3
Not Available,3.0,Not Available,8760.0,10.2,60.0,3852586.0,10.4
100,2.0,86,5901.0,1.7,1.0,2085773.0,2.1
Not Available,3.0,Not Available,1224.0,5.7,45.0,3030896.0,5.5
Not Available,3.0,Not Available,3497.0,9.7,2.0,3080735.0,9.7
Not Available,2.0,Not Available,3222.0,3.3,62.0,2116208.0,2.5
23,3.0,Not Available,6399.0,6,26.0,3392297.0,2
83,3.0,93,2787.0,5.4,1.0,3069559.0,3.4
Not Available,1.0,Not Available,2180.0,8.2,108.0,1064415.0,10
Not Available,1.0,Not Available,372.0,9,14.0,1004357.0,11.3
Not Available,4.0,Not Available,10103.0,9.2,16.0,4448849.0,0.9
46,5.0,53,6050.0,5.9,2.0,5079651.0,5.2
82,4.0,86,8717.0,5,1.0,4178127.0,4.7
Not Available,6.0,Not Available,0.0,22.8,0.0,0.0,Not Available
70,3.0,82,3230.0,3.7,27.0,3073462.0,3.6
65,3.0,58,5519.0,5.6,1.0,3132140.0,5.1
Not Available,2.0,Not Available,3247.0,4.6,1.0,2116604.0,4.5
Not Available,2.0,Not Available,3224.0,0.7,1.0,2014903.0,2.5
75,3.0,35,3740.0,5.9,1.0,3083931.0,5.6
Not Available,1.0,Not Available,777.0,15,18.0,1014251.0,16.5
Not Available,3.0,Not Available,8760.0,10.2,60.0,3326939.0,10.4
79,2.0,40,4171.0,4,1.0,2046140.0,4.4
77,3.0,79,2345.0,4.4,1.0,3062337.0,4.3
77,2.0,78,2671.0,5,11.0,2004868.0,5.5
Not Available,3.0,Not Available,8680.0,9.7,32.0,3245028.0,7.7
Not Available,1.0,Not Available,806.0,8.6,66.0,1015173.0,8.9
Not Available,5.0,Not Available,34.0,11.9,1.0,5106487.0,3
96,4.0,94,8929.0,3.5,58.0,4184144.0,3.2
56,4.0,44,752.0,5.4,1.0,4014094.0,6.1
Not Available,1.0,Not Available,1029.0,0,43.0,1024906.0,4.8
Not Available,1.0,Not Available,1920.0,8.6,29.0,1058276.0,7.3
75,4.0,95,11300.0,4.8,1.0,4243743.0,2.6
63,2.0,35,4288.0,5.3,1.0,2048794.0,5
74,4.0,65,3095.0,4.4,50.0,4072457.0,4.3
Not Available,2.0,Not Available,5531.0,8,40.0,2097742.0,3.7
78,3.0,83,7185.0,6.5,20.0,3194998.0,5.7
Not Available,3.0,Not Available,6709.0,6.3,54.0,3179706.0,7.3
7,1.0,Not Available,2226.0,7.2,41.0,1081910.0,Not Available
97,2.0,44,3351.0,4.2,1.0,2018457.0,5.8
93,1.0,95,2215.0,4.5,824.0,1082045.0,4.3
82,1.0,87,1752.0,5,22.0,1054156.0,5.1
48,4.0,24,8401.0,8.5,375.0,4173640.0,6
37,4.0,64,4229.0,5.6,14.0,4099925.0,5.5
89,2.0,62,2925.0,5.1,1.0,2009611.0,3.9
Not Available,2.0,Not Available,2888.0,4.9,21.0,2009316.0,6.1
35,1.0,35,2229.0,10.3,12.0,1064871.0,9.9
Not Available,1.0,Not Available,1009.0,10.2,1.0,1023449.0,9.2
91,3.0,91,1448.0,3.7,1.0,3038939.0,3.3
92,3.0,79,4094.0,7.3,1.0,3090738.0,6.6
Not Available,1.0,Not Available,340.0,8.8,1.0,1081932.0,10.2
78,4.0,78,4370.0,4.7,50.0,4100749.0,4.7
Not Available,2.0,Not Available,2605.0,14.6,40.0,0.0,12.7
59,4.0,40,12672.0,6,1.0,4273142.0,6.9
23,1.0,24,51.0,7.9,15.0,1001035.0,11.2
Not Available,1.0,Not Available,769.0,8.4,55.0,1013994.0,3.7
5,2.0,7,3248.0,15.1,62.0,2115783.0,15.8
Not Available,4.0,Not Available,15560.0,7.6,50.0,4298254.0,1.5
Not Available,3.0,Not Available,7556.0,0,150.0,3327317.0,11.6
93,5.0,68,6566.0,3.5,1.0,5082407.0,2.5
Not Available,3.0,Not Available,5495.0,14.6,1.0,3130960.0,3.2
64,3.0,25,8182.0,7.9,52.0,3229624.0,9.4
93,2.0,23,3115.0,4.8,21.0,2086808.0,6.3
43,4.0,74,2248.0,6.4,100.0,4052713.0,6.1
Not Available,4.0,Not Available,1247.0,2.8,41.0,4028697.0,Not Available
